type,location,name,value,suspicious
Scheduled Task,Task Scheduler,"""WIN-CPMCMSJ2CFC"",""\Microsoft\Windows\Hotpatch\Monitoring"",""12/05/2026 03:19:18""","""WIN-CPMCMSJ2CFC"",""\Microsoft\Windows\Hotpatch\Monitoring"",""12/05/2026 03:19:18"",""Ready"",""Interactive/Background"",""11/05/2026 03:10:06"",""0"",""N/A"",""%systemroot%\system32\cmd.exe /d /c %systemroot%\system32\hpatchmonTask.cmd"",""N/A"",""N/A"",""Enabled"",""Disabled"","""",""SYSTEM"",""Disabled"",""00:02:00"",""Scheduling data is not available in this format."",""At system start up"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A""",True
Scheduled Task,Task Scheduler,"""WIN-CPMCMSJ2CFC"",""\Microsoft\Windows\Hotpatch\Monitoring"",""12/05/2026 03:09:37""","""WIN-CPMCMSJ2CFC"",""\Microsoft\Windows\Hotpatch\Monitoring"",""12/05/2026 03:09:37"",""Ready"",""Interactive/Background"",""11/05/2026 03:10:06"",""0"",""N/A"",""%systemroot%\system32\cmd.exe /d /c %systemroot%\system32\hpatchmonTask.cmd"",""N/A"",""N/A"",""Enabled"",""Disabled"","""",""SYSTEM"",""Disabled"",""00:02:00"",""Scheduling data is not available in this format."",""At logon time"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A""",True
Scheduled Task,Task Scheduler,"""WIN-CPMCMSJ2CFC"",""\Microsoft\Windows\Hotpatch\Monitoring"",""12/05/2026 03:01:25""","""WIN-CPMCMSJ2CFC"",""\Microsoft\Windows\Hotpatch\Monitoring"",""12/05/2026 03:01:25"",""Ready"",""Interactive/Background"",""11/05/2026 03:10:06"",""0"",""N/A"",""%systemroot%\system32\cmd.exe /d /c %systemroot%\system32\hpatchmonTask.cmd"",""N/A"",""N/A"",""Enabled"",""Disabled"","""",""SYSTEM"",""Disabled"",""00:02:00"",""Scheduling data is not available in this format."",""One Time Only, Hourly "",""03:00:00"",""01/01/2000"",""N/A"",""N/A"",""N/A"",""24 Hour(s), 0 Minute(s)"",""None"",""Disabled"",""Disabled""",True
Scheduled Task,Task Scheduler,"""WIN-CPMCMSJ2CFC"",""\Microsoft\Windows\License Manager\TempSignedLicenseExchange""","""WIN-CPMCMSJ2CFC"",""\Microsoft\Windows\License Manager\TempSignedLicenseExchange"",""N/A"",""Ready"",""Interactive/Background"",""30/11/1999 00:00:00"",""267011"",""Microsoft Corporation"",""COM handler"",""N/A"",""Exchanges temporary preinstalled licenses for Microsoft Store licenses."",""Enabled"",""Only Start If Idle for  minutes, If Not Idle Retry For  minutes Stop the task if Idle State end"","""",""INTERACTIVE"",""Disabled"",""72:00:00"",""Scheduling data is not available in this format."",""On demand only"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A""",True
Scheduled Task,Task Scheduler,"""WIN-CPMCMSJ2CFC"",""\Microsoft\Windows\Maps\MapsUpdateTask"",""N/A"",""Disabled"",""Int","""WIN-CPMCMSJ2CFC"",""\Microsoft\Windows\Maps\MapsUpdateTask"",""N/A"",""Disabled"",""Interactive/Background"",""30/11/1999 00:00:00"",""267011"",""Microsoft Corporation"",""COM handler"",""N/A"",""This task checks for updates to maps which you have downloaded for offline use. Disabling this task will prevent Windows from notifying you of updated maps."",""Disabled"",""Disabled"",""Stop On Battery Mode, No Start On Batteries"",""NETWORK SERVICE"",""Disabled"",""00:00:40"",""Scheduling data is not available in this format."",""One Time Only, Hourly "",""00:00:00"",""21/10/2014"",""N/A"",""N/A"",""N/A"",""24 Hour(s), 0 Minute(s)"",""None"",""Disabled"",""Disabled""",True
Scheduled Task,Task Scheduler,"""WIN-CPMCMSJ2CFC"",""\Microsoft\Windows\Shell\ThemesSyncedImageDownload"",""N/A"",""Re","""WIN-CPMCMSJ2CFC"",""\Microsoft\Windows\Shell\ThemesSyncedImageDownload"",""N/A"",""Ready"",""Interactive/Background"",""30/11/1999 00:00:00"",""267011"",""Microsoft Corporation"",""COM handler"",""N/A"",""Downloads a backup of your synced theme images"",""Enabled"",""Only Start If Idle for 10 minutes, If Not Idle Retry For 60 minutes"",""Stop On Battery Mode, No Start On Batteries"",""Users"",""Disabled"",""72:00:00"",""Scheduling data is not available in this format."",""On demand only"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A""",True
Scheduled Task,Task Scheduler,"""WIN-CPMCMSJ2CFC"",""\Microsoft\Windows\Speech\SpeechModelDownloadTask"",""12/05/202","""WIN-CPMCMSJ2CFC"",""\Microsoft\Windows\Speech\SpeechModelDownloadTask"",""12/05/2026 00:49:02"",""Ready"",""Interactive/Background"",""30/11/1999 00:00:00"",""267011"",""N/A"",""%windir%\system32\speech_onecore\common\SpeechModelDownload.exe "",""N/A"",""N/A"",""Enabled"",""Only Start If Idle for 10 minutes, If Not Idle Retry For 10 minutes"",""Stop On Battery Mode, No Start On Batteries"",""NETWORK SERVICE"",""Disabled"",""00:10:00"",""Scheduling data is not available in this format."",""One Time Only, Hourly "",""00:00:00"",""01/01/2004"",""N/A"",""N/A"",""N/A"",""24 Hour(s), 0 Minute(s)"",""None"",""Disabled"",""Disabled""",True
Scheduled Task,Task Scheduler,"""WIN-CPMCMSJ2CFC"",""\Microsoft\Windows\Windows Defender\Windows Defender Cache Ma","""WIN-CPMCMSJ2CFC"",""\Microsoft\Windows\Windows Defender\Windows Defender Cache Maintenance"",""N/A"",""Ready"",""Interactive/Background"",""30/11/1999 00:00:00"",""267011"",""N/A"",""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26030.3011-0\MpCmdRun.exe -IdleTask -TaskName WdCacheMaintenance"",""N/A"",""Periodic maintenance task."",""Enabled"",""Disabled"",""No Start On Batteries"",""SYSTEM"",""Disabled"",""72:00:00"",""Scheduling data is not available in this format."",""On demand only"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A""",True
Scheduled Task,Task Scheduler,"""WIN-CPMCMSJ2CFC"",""\Microsoft\Windows\Windows Defender\Windows Defender Cleanup""","""WIN-CPMCMSJ2CFC"",""\Microsoft\Windows\Windows Defender\Windows Defender Cleanup"",""N/A"",""Ready"",""Interactive/Background"",""30/11/1999 00:00:00"",""267011"",""N/A"",""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26030.3011-0\MpCmdRun.exe -IdleTask -TaskName WdCleanup"",""N/A"",""Periodic clean-up task."",""Enabled"",""Disabled"",""No Start On Batteries"",""SYSTEM"",""Disabled"",""72:00:00"",""Scheduling data is not available in this format."",""On demand only"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A""",True
Scheduled Task,Task Scheduler,"""WIN-CPMCMSJ2CFC"",""\Microsoft\Windows\Windows Defender\Windows Defender Schedule","""WIN-CPMCMSJ2CFC"",""\Microsoft\Windows\Windows Defender\Windows Defender Scheduled Scan"",""N/A"",""Ready"",""Interactive/Background"",""30/11/1999 00:00:00"",""267011"",""N/A"",""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26030.3011-0\MpCmdRun.exe Scan -ScheduleJob -ScanTrigger 55 -IdleScheduledJob"",""N/A"",""Periodic scan task."",""Enabled"",""Disabled"",""No Start On Batteries"",""SYSTEM"",""Disabled"",""72:00:00"",""Scheduling data is not available in this format."",""On demand only"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A""",True
